meta_score,title,platform,date,user_score,link,esrb_rating,developers,genres
75,Mario Kart Live: Home Circuit,Switch,"Oct 16, 2020",7.3,/game/switch/mario-kart-live-home-circuit,E,"['Nintendo', ' Velan Studios']","['Racing', 'Arcade', 'Automobile']"
,Super Smash Bros. Ultimate: Steve & Alex,Switch,"Oct 13, 2020",9.3,/game/switch/super-smash-bros-ultimate-steve-alex,E10+,['Nintendo'],"['Action', 'Fighting', '2D']"
,Mario Kart 8 Deluxe + Super Mario Party,Switch,"Oct 4, 2020",,/game/switch/mario-kart-8-deluxe-+-super-mario-party,E,['Nintendo'],"['Miscellaneous', 'Compilation']"
75,Super Mario Bros. 35,Switch,"Oct 1, 2020",7.5,/game/switch/super-mario-bros-35,,['Nintendo'],"['Action', 'Platformer', '2D']"
,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - DLC 3 Story Pack: Symphony of the Mask,Switch,"Sep 23, 2020",,/game/switch/cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda---dlc-3-story-pack-symphony-of-the-mask,E,['Brace Yourself Games'],"['Action', 'Rhythm', 'Music']"
65,Kirby Fighters 2,Switch,"Sep 23, 2020",7.9,/game/switch/kirby-fighters-2,,"['Nintendo', ' HAL Labs']","['Action', 'Fighting', '2D']"
82,Super Mario 3D All-Stars,Switch,"Sep 18, 2020",6.3,/game/switch/super-mario-3d-all-stars,E,['Nintendo'],"['Miscellaneous', 'Compilation']"
,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - DLC 2 Melody Pack,Switch,"Aug 26, 2020",,/game/switch/cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda---dlc-2-melody-pack,E,['Brace Yourself Games'],"['Action', 'Rhythm', 'Music']"
,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - DLC 1 Character Pack,Switch,"Jul 20, 2020",,/game/switch/cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda---dlc-1-character-pack,E,['Brace Yourself Games'],"['Action', 'Rhythm', 'Music']"
80,Paper Mario: The Origami King,Switch,"Jul 17, 2020",7.0,/game/switch/paper-mario-the-origami-king,E,['Intelligent Systems'],"['Role-Playing', 'General']"
,Super Smash Bros. Ultimate: Min Min,Switch,"Jun 29, 2020",7.8,/game/switch/super-smash-bros-ultimate-min-min,,['Nintendo'],"['Action', 'Fighting', '2D']"
64,Pokemon Cafe Mix,Switch,"Jun 23, 2020",7.7,/game/switch/pokemon-cafe-mix,E,['The Pokemon Company'],"['Puzzle', 'Matching']"
69,Pokemon Sword / Shield: The Isle of Armor,Switch,"Jun 17, 2020",5.3,/game/switch/pokemon-sword-shield-the-isle-of-armor,E,['Game Freak'],"['Role-Playing', 'Trainer']"
,Jump Rope Challenge,Switch,"Jun 15, 2020",7.4,/game/switch/jump-rope-challenge,,['Nintendo'],"['Action', 'General']"
82,Clubhouse Games: 51 Worldwide Classics,Switch,"Jun 5, 2020",7.8,/game/switch/clubhouse-games-51-worldwide-classics,E,"['Nintendo', ' Nd Cube']","['Miscellaneous', 'Party / Minigame']"
89,Xenoblade Chronicles: Definitive Edition,Switch,"May 29, 2020",8.9,/game/switch/xenoblade-chronicles-definitive-edition,T,['Monolith Soft'],"['Role-Playing', 'Action RPG']"
,Arcade Archives: Vs. Wrecking Crew,Switch,"May 1, 2020",,/game/switch/arcade-archives-vs-wrecking-crew,E,['Nintendo'],"['Action', 'Platformer', '2D']"
,Marvel Ultimate Alliance 3: The Black Order - Expansion 3 - Fantastic Four: Shadow of Doom,Switch,"Mar 26, 2020",,/game/switch/marvel-ultimate-alliance-3-the-black-order---expansion-3---fantastic-four-shadow-of-doom,T,['Team Ninja'],"['Role-Playing', 'Action RPG']"
78,Good Job!,Switch,"Mar 26, 2020",7.7,/game/switch/good-job!,E,"['Nintendo', ' Paladin Studios']","['Action', 'General']"
90,Animal Crossing: New Horizons,Switch,"Mar 20, 2020",5.5,/game/switch/animal-crossing-new-horizons,E,['Nintendo'],"['Simulation', 'Virtual', 'Virtual Life']"
68,Pokemon Mystery Dungeon: Rescue Team DX,Switch,"Mar 6, 2020",8.2,/game/switch/pokemon-mystery-dungeon-rescue-team-dx,E,['Spike Chunsoft'],"['Role-Playing', 'Roguelike']"
,Luigi's Mansion 3: Multiplayer Pack 1 & 2,Switch,"Mar 4, 2020",,/game/switch/luigis-mansion-3-multiplayer-pack-1-2,,['Next Level Games'],"['Action Adventure', 'General']"
75,Fire Emblem: Three Houses - Side Story: Cindered Shadows,Switch,"Feb 13, 2020",7.6,/game/switch/fire-emblem-three-houses---side-story-cindered-shadows,T,['Intelligent Systems'],"['Strategy', 'Turn-Based', 'Tactics']"
,Pokemon HOME,iOS,"Feb 11, 2020",,/game/ios/pokemon-home,,['Game Freak'],"['Miscellaneous', 'Application']"
,Pokemon HOME,Switch,"Feb 11, 2020",2.0,/game/switch/pokemon-home,E,['Game Freak'],"['Miscellaneous', 'Application']"
,Super Smash Bros. Ultimate: Byleth,Switch,"Jan 28, 2020",6.6,/game/switch/super-smash-bros-ultimate-byleth,E10+,['Nintendo'],"['Action', 'Fighting', '2D']"
81,Tokyo Mirage Sessions #FE Encore,Switch,"Jan 17, 2020",6.2,/game/switch/tokyo-mirage-sessions-fe-encore,T,['Atlus'],"['Role-Playing', 'Japanese-Style']"
64,Dr. Kawashima's Brain Training for Nintendo Switch,Switch,"Jan 3, 2020",5.9,/game/switch/dr-kawashimas-brain-training-for-nintendo-switch,,['Nintendo'],"['Miscellaneous', 'Edutainment']"
,Arcade Archives: Vs. Balloon Fight,Switch,"Dec 27, 2019",,/game/switch/arcade-archives-vs-balloon-fight,E,['Nintendo'],"['Action', 'Arcade']"
,Marvel Ultimate Alliance 3: The Black Order - Expansion 2: Rise of the Phoenix,Switch,"Dec 23, 2019",,/game/switch/marvel-ultimate-alliance-3-the-black-order---expansion-2-rise-of-the-phoenix,T,['Team Ninja'],"['Role-Playing', 'Action RPG']"
80,Pokemon Shield,Switch,"Nov 15, 2019",4.6,/game/switch/pokemon-shield,E,['Game Freak'],"['Role-Playing', 'Trainer']"
80,Pokemon Sword,Switch,"Nov 15, 2019",4.6,/game/switch/pokemon-sword,E,['Game Freak'],"['Role-Playing', 'Trainer']"
80,Pokemon Sword / Shield Dual Pack,Switch,"Nov 15, 2019",4.3,/game/switch/pokemon-sword-shield-dual-pack,E,['Game Freak'],"['Role-Playing', 'Trainer']"
73,Layton's Mystery Journey: Katrielle and The Millionaires' Conspiracy - Deluxe Edition,Switch,"Nov 8, 2019",7.2,/game/switch/laytons-mystery-journey-katrielle-and-the-millionaires-conspiracy---deluxe-edition,E10+,['Level 5'],"['Puzzle', 'General']"
75,The Stretchers,Switch,"Nov 8, 2019",7.2,/game/switch/the-stretchers,E,['Tarsier Studios'],"['Action', 'General']"
,Super Smash Bros. Ultimate: Terry Bogard,Switch,"Nov 6, 2019",7.6,/game/switch/super-smash-bros-ultimate-terry-bogard,E10+,['Nintendo'],"['Action', 'Fighting', '2D']"
86,Luigi's Mansion 3,Switch,"Oct 31, 2019",8.5,/game/switch/luigis-mansion-3,E,"['Next Level Games', ' Nintendo']","['Action Adventure', 'General']"
83,Ring Fit Adventure,Switch,"Oct 18, 2019",8.7,/game/switch/ring-fit-adventure,E10+,['Nintendo'],"['Miscellaneous', 'Exercise / Fitness']"
64,Little Town Hero,Switch,"Oct 16, 2019",4.0,/game/switch/little-town-hero,E10+,['Game Freak'],"['Role-Playing', 'Japanese-Style']"
,Marvel Ultimate Alliance 3: The Black Order - Expansion 1: Curse of the Vampire,Switch,"Sep 30, 2019",,/game/switch/marvel-ultimate-alliance-3-the-black-order---expansion-1-curse-of-the-vampire,T,['Team Ninja'],"['Role-Playing', 'Action RPG']"
91,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,Switch,"Sep 27, 2019",8.6,/game/switch/dragon-quest-xi-s-echoes-of-an-elusive-age---definitive-edition,T,['Square Enix'],"['Role-Playing', 'Japanese-Style']"
58,Mario Kart Tour,iOS,"Sep 25, 2019",3.8,/game/ios/mario-kart-tour,E,['Nintendo'],"['Racing', 'Arcade', 'Automobile']"
87,The Legend of Zelda: Link's Awakening,Switch,"Sep 20, 2019",8.4,/game/switch/the-legend-of-zelda-links-awakening,E,"['Nintendo', ' GREZZO']","['Action Adventure', 'Open-World']"
69,Daemon X Machina,Switch,"Sep 13, 2019",7.3,/game/switch/daemon-x-machina,T,"['First Studio', ' Marvelous First Studio']","['Simulation', 'Vehicle', 'Combat']"
,Super Smash Bros. Ultimate: Banjo & Kazooie,Switch,"Sep 4, 2019",7.8,/game/switch/super-smash-bros-ultimate-banjo-kazooie,E10+,['Nintendo'],"['Action', 'Fighting', '2D']"
74,Super Kirby Clash,Switch,"Sep 4, 2019",7.4,/game/switch/super-kirby-clash,E,"['Nintendo', ' HAL Labs']","['Action', 'General']"
,Arcade Archives: Pinball,Switch,"Aug 30, 2019",,/game/switch/arcade-archives-pinball,E,['Nintendo'],"['Action', 'Pinball']"
87,Astral Chain,Switch,"Aug 30, 2019",8.9,/game/switch/astral-chain,T,['PlatinumGames'],"['Action Adventure', 'General']"
,Super Smash Bros. Ultimate: Hero,Switch,"Jul 30, 2019",7.8,/game/switch/super-smash-bros-ultimate-hero,E10+,['Nintendo'],"['Action', 'Fighting', '2D']"
89,Fire Emblem: Three Houses,Switch,"Jul 26, 2019",8.7,/game/switch/fire-emblem-three-houses,T,"['Intelligent Systems', ' Koei Tecmo Games']","['Strategy', 'Turn-Based', 'Tactics']"
73,Marvel Ultimate Alliance 3: The Black Order,Switch,"Jul 19, 2019",7.3,/game/switch/marvel-ultimate-alliance-3-the-black-order,T,['Team Ninja'],"['Role-Playing', 'Action RPG']"
58,Dr. Mario World,iOS,"Jul 10, 2019",3.4,/game/ios/dr-mario-world,,"['Nintendo', ' LINE Corporation']","['Puzzle', 'Action']"
,Arcade Archives: Clu Clu Land,Switch,"Jun 28, 2019",,/game/switch/arcade-archives-clu-clu-land,E,['Nintendo'],"['Action', 'Arcade']"
88,Super Mario Maker 2,Switch,"Jun 28, 2019",8.5,/game/switch/super-mario-maker-2,E,['Nintendo'],"['Action', 'Platformer', '2D']"
85,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda,Switch,"Jun 13, 2019",8.1,/game/switch/cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda,E,['Brace Yourself Games'],"['Action', 'Rhythm', 'Music']"
71,Nintendo Labo: Toycon 04 VR Kit,Switch,"May 12, 2019",6.5,/game/switch/nintendo-labo-toycon-04-vr-kit,E10+,['Nintendo'],"['Action', 'General']"
,Tetris 99: Big Block,Switch,"May 10, 2019",6.0,/game/switch/tetris-99-big-block,E,['Arika'],"['Puzzle', 'Stacking']"
81,BoxBoy! + BoxGirl!,Switch,"Apr 26, 2019",7.9,/game/switch/boxboy!-+-boxgirl!,E,['HAL Labs'],"['Puzzle', 'Action']"
,Super Smash Bros. Ultimate: Joker,Switch,"Apr 17, 2019",8.1,/game/switch/super-smash-bros-ultimate-joker,E10+,['Nintendo'],"['Action', 'Fighting', '2D']"
79,Yoshi's Crafted World,Switch,"Mar 28, 2019",8.0,/game/switch/yoshis-crafted-world,E,['Good-Feel'],"['Action', 'Platformer', '3D']"
81,Captain Toad: Treasure Tracker - Special Episode,Switch,"Mar 14, 2019",8.2,/game/switch/captain-toad-treasure-tracker---special-episode,,['Nintendo Software Technology'],"['Action', 'Platformer', '3D']"
79,Kirby's Extra Epic Yarn,3DS,"Mar 8, 2019",6.7,/game/3ds/kirbys-extra-epic-yarn,E,['Good-Feel'],"['Action', 'Platformer', '2D']"
,Arcade Archives: Vs. Ice Climber,Switch,"Feb 22, 2019",7.3,/game/switch/arcade-archives-vs-ice-climber,,['Nintendo'],"['Action', 'Platformer', '2D']"
83,Tetris 99,Switch,"Feb 13, 2019",8.3,/game/switch/tetris-99,E,"['Arika', ' Nintendo']","['Puzzle', 'Stacking']"
,Daemon X Machina: Prototype Missions,Switch,"Feb 13, 2019",6.6,/game/switch/daemon-x-machina-prototype-missions,,['Nintendo'],"['Simulation', 'Vehicle', 'Combat']"
80,Yo-kai Watch 3,3DS,"Feb 8, 2019",7.8,/game/3ds/yo-kai-watch-3,E10+,['Level 5'],"['Role-Playing', 'Trainer']"
,Super Smash Bros. Ultimate: Piranha Plant,Switch,"Jan 29, 2019",7.1,/game/switch/super-smash-bros-ultimate-piranha-plant,E10+,['Nintendo'],"['Action', 'Fighting', '2D']"
67,Travis Strikes Again: No More Heroes,Switch,"Jan 18, 2019",7.9,/game/switch/travis-strikes-again-no-more-heroes,M,['Grasshopper Manufacture'],"['Action', ""Beat-'Em-Up"", '3D']"
84,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,3DS,"Jan 11, 2019",7.8,/game/3ds/mario-luigi-bowsers-inside-story-+-bowser-jrs-journey,E,"['Nintendo', ' Alphadream Corporation']","['Role-Playing', 'Japanese-Style']"
80,New Super Mario Bros. U Deluxe,Switch,"Jan 11, 2019",7.0,/game/switch/new-super-mario-bros-u-deluxe,E,['Nintendo'],"['Action', 'Platformer', '2D']"
66,Fitness Boxing,Switch,"Jan 4, 2019",6.7,/game/switch/fitness-boxing,T,"['Imagineer Co.', 'Ltd.']","['Miscellaneous', 'Exercise / Fitness']"
93,Super Smash Bros. Ultimate,Switch,"Dec 7, 2018",8.6,/game/switch/super-smash-bros-ultimate,E10+,"['Nintendo', ' HAL Labs', ' Bandai Namco Games', ' Sora Ltd.']","['Action', 'Fighting', '2D']"
80,"Pokemon: Let's Go, Eevee!",Switch,"Nov 16, 2018",6.2,/game/switch/pokemon-lets-go-eevee!,E,['Game Freak'],"['Action RPG', 'Role-Playing', 'Trainer']"
79,"Pokemon: Let's Go, Pikachu!",Switch,"Nov 16, 2018",6.1,/game/switch/pokemon-lets-go-pikachu!,E,['Game Freak'],"['Action RPG', 'Role-Playing', 'Trainer']"
,Arcade Archives: Urban Champion,Switch,"Nov 9, 2018",,/game/switch/arcade-archives-urban-champion,,['Nintendo'],"['Action', 'Fighting', '2D']"
77,The World Ends with You: Final Remix,Switch,"Oct 12, 2018",7.1,/game/switch/the-world-ends-with-you-final-remix,T,"['Square Enix', ' h.a.n.d. Inc.', ' Jupiter Corporation']","['Role-Playing', 'Action RPG']"
74,Luigi's Mansion,3DS,"Oct 12, 2018",8.1,/game/3ds/luigis-mansion,E,"['Nintendo', ' GREZZO']","['Action Adventure', 'General']"
76,Super Mario Party,Switch,"Oct 5, 2018",7.2,/game/switch/super-mario-party,E,"['Nintendo', ' Nd Cube']","['Miscellaneous', 'Party / Minigame']"
69,Dragalia Lost,iOS,"Sep 27, 2018",7.7,/game/ios/dragalia-lost,T,['Cygames'],"['Role-Playing', 'General']"
,Yo-kai Watch Blasters: Moon Rabbit Crew,3DS,"Sep 27, 2018",,/game/3ds/yo-kai-watch-blasters-moon-rabbit-crew,E10+,['Level 5'],"['Action', ""Beat-'Em-Up"", '3D']"
,Arcade Archives: Excitebike,Switch,"Sep 21, 2018",,/game/switch/arcade-archives-excitebike,E,['Nintendo'],"['Racing', 'Arcade', 'Automobile']"
80,Xenoblade Chronicles 2: Torna ~ The Golden Country,Switch,"Sep 14, 2018",8.7,/game/switch/xenoblade-chronicles-2-torna-the-golden-country,T,['Monolith Soft'],"['Role-Playing', 'Action RPG']"
69,Nintendo Labo: Toycon 03 Vehicle Kit,Switch,"Sep 14, 2018",7.2,/game/switch/nintendo-labo-toycon-03-vehicle-kit,E,['Nintendo'],"['Miscellaneous', 'Party / Minigame']"
67,Yo-kai Watch Blasters: Red Cat Corps,3DS,"Sep 7, 2018",7.5,/game/3ds/yo-kai-watch-blasters-red-cat-corps,E10+,['Level 5'],"['Action', ""Beat-'Em-Up"", '3D']"
67,Yo-kai Watch Blasters: White Dog Squad,3DS,"Sep 7, 2018",7.5,/game/3ds/yo-kai-watch-blasters-white-dog-squad,E10+,['Level 5'],"['Action', ""Beat-'Em-Up"", '3D']"
78,WarioWare Gold,3DS,"Aug 3, 2018",8.0,/game/3ds/warioware-gold,E10+,['Nintendo'],"['Miscellaneous', 'Party / Minigame']"
62,Go Vacation,Switch,"Jul 27, 2018",7.8,/game/switch/go-vacation,E,['Bandai Namco Games'],"['Miscellaneous', 'Party / Minigame']"
,Xenoblade Chronicles 2: New Quests Pack 4,Switch,"Jul 26, 2018",,/game/switch/xenoblade-chronicles-2-new-quests-pack-4,,['Monolith Soft'],"['Role-Playing', 'Action RPG']"
82,Captain Toad: Treasure Tracker,Switch,"Jul 13, 2018",7.9,/game/switch/captain-toad-treasure-tracker,E,"['Nintendo EAD Tokyo ', ' Nintendo Software Technology']","['Action', 'Platformer', '3D']"
79,Captain Toad: Treasure Tracker,3DS,"Jul 13, 2018",6.9,/game/3ds/captain-toad-treasure-tracker,E,"['Nintendo EAD Tokyo ', ' Nintendo Software Technology']","['Action', 'Platformer', '3D']"
83,Octopath Traveler,Switch,"Jul 12, 2018",8.5,/game/switch/octopath-traveler,T,"['Square Enix', ' Acquire']","['General', 'Role-Playing', 'Japanese-Style']"
75,Mario Tennis Aces,Switch,"Jun 22, 2018",7.1,/game/switch/mario-tennis-aces,E,['Camelot Software Planning'],"['Sports', 'Individual', 'Tennis']"
82,Arcade Archives: Donkey Kong,Switch,"Jun 14, 2018",8.5,/game/switch/arcade-archives-donkey-kong,E,['Nintendo'],"['Action', 'Platformer', '2D']"
82,Splatoon 2: Octo Expansion,Switch,"Jun 13, 2018",8.4,/game/switch/splatoon-2-octo-expansion,E10+,['Nintendo'],"['Action', 'Shooter', 'Third-Person', 'Arcade']"
,Xenoblade Chronicles 2: Battle Challenge Mode Pack,Switch,"Jun 13, 2018",,/game/switch/xenoblade-chronicles-2-battle-challenge-mode-pack,T,['Monolith Soft'],"['Role-Playing', 'Action RPG']"
,Sushi Striker: The Way of Sushido,3DS,"Jun 8, 2018",7.1,/game/3ds/sushi-striker-the-way-of-sushido,E,['indieszero'],"['Puzzle', 'Matching']"
76,Sushi Striker: The Way of Sushido,Switch,"Jun 8, 2018",7.8,/game/switch/sushi-striker-the-way-of-sushido,E,['indieszero'],"['Puzzle', 'Matching']"
62,Pokemon Quest,iOS,"May 30, 2018",4.7,/game/ios/pokemon-quest,,['Game Freak'],"['Role-Playing', 'Action RPG']"
64,Pokemon Quest,Switch,"May 29, 2018",6.5,/game/switch/pokemon-quest,E,['Game Freak'],"['Role-Playing', 'Action RPG']"
,Xenoblade Chronicles 2: New Quests Pack 3,Switch,"May 25, 2018",,/game/switch/xenoblade-chronicles-2-new-quests-pack-3,T,['Monolith Soft'],"['Role-Playing', 'Action RPG']"
69,Dillon's Dead-Heat Breakers,3DS,"May 24, 2018",7.6,/game/3ds/dillons-dead-heat-breakers,E10+,"['Nintendo', ' Vanpool']","['Action', 'General']"
78,Hyrule Warriors: Definitive Edition,Switch,"May 18, 2018",7.9,/game/switch/hyrule-warriors-definitive-edition,T,['Koei Tecmo Games'],"['Action', ""Beat-'Em-Up"", '3D']"
86,Donkey Kong Country: Tropical Freeze,Switch,"May 4, 2018",8.6,/game/switch/donkey-kong-country-tropical-freeze,E,['Retro Studios'],"['Action', 'Platformer', '2D']"
77,Nintendo Labo: Toycon 01 Variety Kit,Switch,"Apr 20, 2018",6.9,/game/switch/nintendo-labo-toycon-01-variety-kit,E,['Nintendo'],"['Miscellaneous', 'Party / Minigame']"
68,Nintendo Labo: Toycon 02 Robot Kit,Switch,"Apr 20, 2018",6.5,/game/switch/nintendo-labo-toycon-02-robot-kit,E10+,['Nintendo'],"['Miscellaneous', 'Party / Minigame']"
,Arcade Archives: Punch-Out!,Switch,"Mar 30, 2018",7.5,/game/switch/arcade-archives-punch-out!,E10+,['Nintendo'],"['Sports', 'Individual', 'Combat', 'Boxing / Martial Arts']"
,Xenoblade Chronicles 2: New Quests Pack 2,Switch,"Mar 30, 2018",,/game/switch/xenoblade-chronicles-2-new-quests-pack-2,T,['Monolith Soft'],"['Role-Playing', 'Action RPG']"
,Fire Emblem Warriors: Awakening Pack,3DS,"Mar 29, 2018",,/game/3ds/fire-emblem-warriors-awakening-pack,T,['Omega Force'],"['Action', ""Beat-'Em-Up"", '3D']"
71,Detective Pikachu,3DS,"Mar 23, 2018",7.4,/game/3ds/detective-pikachu,E,['Creatures Inc.'],"['Adventure', '3D', 'Third-Person']"
73,Kirby Star Allies,Switch,"Mar 16, 2018",7.5,/game/switch/kirby-star-allies,E10+,['HAL Labs'],"['Action', 'Platformer', '2D']"
,Kirby Star Allies Demo,Switch,"Mar 4, 2018",7.0,/game/switch/kirby-star-allies-demo,,['HAL Labs'],"['Action', 'Platformer', '2D']"
90,Bayonetta + Bayonetta 2,Switch,"Feb 16, 2018",8.7,/game/switch/bayonetta-+-bayonetta-2,M,['PlatinumGames'],"['Miscellaneous', 'Compilation']"
92,Bayonetta 2,Switch,"Feb 16, 2018",8.5,/game/switch/bayonetta-2,M,"['Nintendo', ' PlatinumGames']","['Action Adventure', 'Linear']"
84,Bayonetta,Switch,"Feb 16, 2018",8.3,/game/switch/bayonetta,M,"['Nintendo', ' PlatinumGames']","['Action Adventure', 'Linear']"
,Fire Emblem Warriors: Shadow Dragon Pack,Switch,"Feb 14, 2018",,/game/switch/fire-emblem-warriors-shadow-dragon-pack,T,['Omega Force'],"['Action', ""Beat-'Em-Up"", '3D']"
,Fire Emblem Warriors: Shadow Dragon Pack,3DS,"Feb 14, 2018",,/game/3ds/fire-emblem-warriors-shadow-dragon-pack,T,['Omega Force'],"['Action', ""Beat-'Em-Up"", '3D']"
81,Dragon Quest Builders,Switch,"Feb 9, 2018",8.1,/game/switch/dragon-quest-builders,E10+,['Square Enix'],"['Action Adventure', 'Sandbox']"
,Pokken Tournament DX: Battle Pack,Switch,"Jan 31, 2018",6.6,/game/switch/pokken-tournament-dx-battle-pack,,['Bandai Namco Games'],"['Action', 'Fighting', '3D']"
,Xenoblade Chronicles 2: New Quests Pack 1,Switch,"Jan 30, 2018",7.2,/game/switch/xenoblade-chronicles-2-new-quests-pack-1,,['Monolith Soft'],"['Role-Playing', 'Action RPG']"
57,Kirby Battle Royale,3DS,"Jan 19, 2018",7.1,/game/3ds/kirby-battle-royale,E10+,"['Nintendo', ' HAL Labs']","['Miscellaneous', 'Party / Minigame']"
80,Style Savvy: Styling Star,3DS,"Dec 25, 2017",7.6,/game/3ds/style-savvy-styling-star,E,"['Nintendo', ' syn Sophia']","['Simulation', 'Virtual', 'Career']"
,Arcade Archives: Vs. Super Mario Bros.,Switch,"Dec 22, 2017",7.4,/game/switch/arcade-archives-vs-super-mario-bros,E,['Nintendo'],"['Action', 'Platformer', '2D']"
,Fire Emblem Warriors: Fates Pack,Switch,"Dec 21, 2017",6.6,/game/switch/fire-emblem-warriors-fates-pack,T,['Omega Force'],"['Action', ""Beat-'Em-Up"", '3D']"
,Fire Emblem Warriors: Fates Pack,3DS,"Dec 21, 2017",,/game/3ds/fire-emblem-warriors-fates-pack,T,['Omega Force'],"['Action', ""Beat-'Em-Up"", '3D']"
81,The Legend of Zelda: Breath of the Wild - The Champions' Ballad,Switch,"Dec 7, 2017",8.5,/game/switch/the-legend-of-zelda-breath-of-the-wild---the-champions-ballad,E10+,['Nintendo'],"['Action Adventure', 'Open-World']"
,The Legend of Zelda: Breath of the Wild - The Champions' Ballad,WIIU,"Dec 7, 2017",8.8,/game/wii-u/the-legend-of-zelda-breath-of-the-wild---the-champions-ballad,E10+,['Nintendo'],"['Action Adventure', 'Open-World']"
83,Xenoblade Chronicles 2,Switch,"Dec 1, 2017",8.7,/game/switch/xenoblade-chronicles-2,T,['Monolith Soft'],"['Role-Playing', 'Action RPG']"
72,Animal Crossing: Pocket Camp,iOS,"Nov 21, 2017",7.0,/game/ios/animal-crossing-pocket-camp,E,['Nintendo'],"['Simulation', 'Virtual', 'Virtual Life']"
84,Pokemon Ultra Sun,3DS,"Nov 17, 2017",7.8,/game/3ds/pokemon-ultra-sun,E,['Game Freak'],"['Role-Playing', 'Trainer']"
84,Pokemon Ultra Moon,3DS,"Nov 17, 2017",7.7,/game/3ds/pokemon-ultra-moon,E,['Game Freak'],"['Role-Playing', 'Trainer']"
,Pokemon Ultra Sun & Pokemon Ultra Moon Veteran Trainer's Dual Pack,3DS,"Nov 17, 2017",,/game/3ds/pokemon-ultra-sun-pokemon-ultra-moon-veteran-trainers-dual-pack,E,['Game Freak'],"['Role-Playing', 'Trainer']"
77,Ittle Dew 2+,Switch,"Nov 14, 2017",7.7,/game/switch/ittle-dew-2+,E10+,['Ludosity Interactive'],"['Role-Playing', 'Action Adventure', 'General', 'Action RPG']"
59,Mario Party: The Top 100,3DS,"Nov 10, 2017",6.5,/game/3ds/mario-party-the-top-100,E,"['Nintendo', ' Nd Cube']","['Miscellaneous', 'Party / Minigame']"
84,"Snipperclips Plus: Cut It Out, Together!",Switch,"Nov 10, 2017",8.1,/game/switch/snipperclips-plus-cut-it-out-together!,E,['SFB Games'],"['Puzzle', 'General']"
97,Super Mario Odyssey,Switch,"Oct 27, 2017",8.9,/game/switch/super-mario-odyssey,E10+,['Nintendo'],"['Action', 'Platformer', '3D']"
69,Fire Emblem Warriors,3DS,"Oct 20, 2017",8.0,/game/3ds/fire-emblem-warriors,T,['Omega Force'],"['Action', ""Beat-'Em-Up"", '3D']"
